First Reaction,Second Reaction,Second Reaction Author
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169406"",""R-HSA-1169406"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169403"",""R-HSA-1169403"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169406"",""R-HSA-1169406"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1169404"",""R-HSA-1169404"")","Garapati, P V"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""R-HSA-1170539"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1370500"",""R-HSA-1370500"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""R-HSA-1170539"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209125"",""R-HSA-209125"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1170539"",""R-HSA-1170539"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-209063"",""R-HSA-209063"")","Ray, KP"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236964"",""R-HSA-1236964"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""R-HSA-198955"")","de Bono, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1236965"",""R-HSA-1236965"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-198955"",""R-HSA-198955"")","de Bono, B"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250253"",""R-HSA-1250253"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1250272"",""R-HSA-1250272"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1306876"",""R-HSA-1306876"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-873951"",""R-HSA-873951"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1362465"",""R-HSA-1362465"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-982775"",""R-HSA-982775"")","Jupe, S"
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-1370500"",""R-HSA-1370500"")","=HYPERLINK(""https://reactome.org/content/detail/R-HSA-976991"",""R-HSA-976991"")","Jupe, S"
