PathwayName,Event,RelationType,InputReaction
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-209868
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-156526
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-209765
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-196402
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-195664
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-196417
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-6807055
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5423672
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5423664
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5423637
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5423678
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5423647
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193758
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193746
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192036
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192067
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192160
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-192033
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193841
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193824
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193800
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193821
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193781
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-193755
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-191983
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-428123
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-428260
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-428259
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-75872
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-548831
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-548818
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-5690565
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-8847579
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161792
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161745
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161979
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161651
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161549
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161614
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161692
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161890
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161899
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161951
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-2161844
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9037761
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9027321
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9027043
Metabolism,R-HSA-1475026,Shared entity relation,R-HSA-9027042
