PathwayName,Event,RelationType,PrecedingEventCurated
Cell Cycle,R-HSA-264435,Preceding Event Relation,R-HSA-349444
Cell Cycle,R-HSA-264444,Preceding Event Relation,R-HSA-264418
Cell Cycle,R-HSA-264458,Preceding Event Relation,R-HSA-264444
Cell Cycle,R-HSA-349426,Preceding Event Relation,R-HSA-349455
Cell Cycle,R-HSA-6804879,Preceding Event Relation,R-HSA-5633460
Cell Cycle,R-HSA-349455,Preceding Event Relation,R-HSA-6804741
Cell Cycle,R-HSA-6804955,Preceding Event Relation,R-HSA-6793666
Cell Cycle,R-HSA-6804955,Preceding Event Relation,R-HSA-5693540
Cell Cycle,R-HSA-5693609,Preceding Event Relation,R-HSA-6804762
Cell Cycle,R-HSA-5693609,Preceding Event Relation,R-HSA-5682026
Cell Cycle,R-HSA-5693609,Preceding Event Relation,R-HSA-5693540
Cell Cycle,R-HSA-6803719,Preceding Event Relation,R-HSA-6803437
Cell Cycle,R-HSA-6803719,Preceding Event Relation,R-HSA-6799246
Cell Cycle,R-HSA-6803719,Preceding Event Relation,R-HSA-69685
Cell Cycle,R-HSA-6803719,Preceding Event Relation,R-HSA-6805285
Cell Cycle,R-HSA-6803411,Preceding Event Relation,R-HSA-6803403
Cell Cycle,R-HSA-6803388,Preceding Event Relation,R-HSA-6803801
Cell Cycle,R-HSA-6803403,Preceding Event Relation,R-HSA-6803400
Cell Cycle,R-HSA-6803403,Preceding Event Relation,R-HSA-9617838
Cell Cycle,R-HSA-6803403,Preceding Event Relation,R-HSA-6803388
Cell Cycle,R-HSA-6803801,Preceding Event Relation,R-HSA-6803719
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-69199
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-4647613
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-187828
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-6803411
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-187506
Cell Cycle,R-HSA-69562,Preceding Event Relation,R-HSA-157906
Cell Cycle,R-HSA-187934,Preceding Event Relation,R-HSA-4647613
Cell Cycle,R-HSA-187934,Preceding Event Relation,R-HSA-187828
Cell Cycle,R-HSA-187934,Preceding Event Relation,R-HSA-6803411
Cell Cycle,R-HSA-187934,Preceding Event Relation,R-HSA-174273
Cell Cycle,R-HSA-187934,Preceding Event Relation,R-HSA-187506
Cell Cycle,R-HSA-912505,Preceding Event Relation,R-HSA-912368
Cell Cycle,R-HSA-912505,Preceding Event Relation,R-HSA-912408
Cell Cycle,R-HSA-912408,Preceding Event Relation,R-HSA-912389
Cell Cycle,R-HSA-912389,Preceding Event Relation,null
Cell Cycle,R-HSA-912470,Preceding Event Relation,R-HSA-912450
Cell Cycle,R-HSA-912467,Preceding Event Relation,R-HSA-912368
Cell Cycle,R-HSA-912467,Preceding Event Relation,R-HSA-912408
Cell Cycle,R-HSA-912450,Preceding Event Relation,R-HSA-912467
Cell Cycle,R-HSA-912429,Preceding Event Relation,R-HSA-912496
Cell Cycle,R-HSA-912363,Preceding Event Relation,null
Cell Cycle,R-HSA-912458,Preceding Event Relation,R-HSA-912503
Cell Cycle,R-HSA-912503,Preceding Event Relation,R-HSA-9023943
Cell Cycle,R-HSA-9023941,Preceding Event Relation,R-HSA-912368
Cell Cycle,R-HSA-912368,Preceding Event Relation,R-HSA-1214188
Cell Cycle,R-HSA-912496,Preceding Event Relation,R-HSA-912458
Cell Cycle,R-HSA-1214188,Preceding Event Relation,R-HSA-912363
Cell Cycle,R-HSA-9023943,Preceding Event Relation,R-HSA-9023941
Cell Cycle,R-HSA-163010,Preceding Event Relation,R-HSA-3002798
Cell Cycle,R-HSA-174144,Preceding Event Relation,R-HSA-174121
Cell Cycle,R-HSA-2467798,Preceding Event Relation,null
Cell Cycle,R-HSA-2467809,Preceding Event Relation,null
Cell Cycle,R-HSA-2545203,Preceding Event Relation,R-HSA-2467811
Cell Cycle,R-HSA-2467811,Preceding Event Relation,null
Cell Cycle,R-HSA-174202,Preceding Event Relation,R-HSA-174144
Cell Cycle,R-HSA-2467775,Preceding Event Relation,R-HSA-174202
Cell Cycle,R-HSA-174121,Preceding Event Relation,R-HSA-174238
Cell Cycle,R-HSA-2995389,Preceding Event Relation,null
Cell Cycle,R-HSA-2995388,Preceding Event Relation,null
Cell Cycle,R-HSA-2995376,Preceding Event Relation,R-HSA-2995388
Cell Cycle,R-HSA-156723,Preceding Event Relation,null
Cell Cycle,R-HSA-156673,Preceding Event Relation,null
Cell Cycle,R-HSA-2470935,Preceding Event Relation,R-HSA-2468040
Cell Cycle,R-HSA-2468040,Preceding Event Relation,null
Cell Cycle,R-HSA-2214351,Preceding Event Relation,R-HSA-2172194
Cell Cycle,R-HSA-2422927,Preceding Event Relation,null
Cell Cycle,R-HSA-2314569,Preceding Event Relation,R-HSA-2172183
Cell Cycle,R-HSA-2172183,Preceding Event Relation,R-HSA-170161
Cell Cycle,R-HSA-2314566,Preceding Event Relation,R-HSA-2214351
Cell Cycle,R-HSA-2314566,Preceding Event Relation,R-HSA-2422927
Cell Cycle,R-HSA-2172194,Preceding Event Relation,R-HSA-3000327
Cell Cycle,R-HSA-2172194,Preceding Event Relation,R-HSA-2172183
Cell Cycle,R-HSA-2430533,Preceding Event Relation,R-HSA-170153
Cell Cycle,R-HSA-2430535,Preceding Event Relation,R-HSA-2430533
Cell Cycle,R-HSA-2430552,Preceding Event Relation,R-HSA-2168079
Cell Cycle,R-HSA-2430552,Preceding Event Relation,R-HSA-2430535
Cell Cycle,R-HSA-2168079,Preceding Event Relation,R-HSA-2430533
Cell Cycle,R-HSA-2984220,Preceding Event Relation,R-HSA-170161
Cell Cycle,R-HSA-2980720,Preceding Event Relation,R-HSA-2984226
Cell Cycle,R-HSA-2984226,Preceding Event Relation,R-HSA-3000327
Cell Cycle,R-HSA-2984226,Preceding Event Relation,R-HSA-2984220
Cell Cycle,R-HSA-2984258,Preceding Event Relation,R-HSA-2980720
Cell Cycle,R-HSA-5195402,Preceding Event Relation,R-HSA-170153
Cell Cycle,R-HSA-5221130,Preceding Event Relation,R-HSA-4419948
Cell Cycle,R-HSA-5229194,Preceding Event Relation,R-HSA-2993898
Cell Cycle,R-HSA-5229194,Preceding Event Relation,R-HSA-5223304
Cell Cycle,R-HSA-5223304,Preceding Event Relation,R-HSA-5218805
Cell Cycle,R-HSA-5223304,Preceding Event Relation,R-HSA-5221130
Cell Cycle,R-HSA-5244669,Preceding Event Relation,R-HSA-5229194
Cell Cycle,R-HSA-4419948,Preceding Event Relation,R-HSA-5195402
Cell Cycle,R-HSA-2993898,Preceding Event Relation,null
Cell Cycle,R-HSA-2990880,Preceding Event Relation,R-HSA-2990882
Cell Cycle,R-HSA-2990880,Preceding Event Relation,R-HSA-2984258
Cell Cycle,R-HSA-2990882,Preceding Event Relation,R-HSA-170161
Cell Cycle,R-HSA-380278,Preceding Event Relation,R-HSA-170153
Cell Cycle,R-HSA-2245218,Preceding Event Relation,R-HSA-170153
Cell Cycle,R-HSA-2245218,Preceding Event Relation,R-HSA-2301205
Cell Cycle,R-HSA-2429719,Preceding Event Relation,null
Cell Cycle,R-HSA-2288097,Preceding Event Relation,R-HSA-2172666
Cell Cycle,R-HSA-2288097,Preceding Event Relation,R-HSA-2245218
Cell Cycle,R-HSA-2301205,Preceding Event Relation,null
Cell Cycle,R-HSA-2172678,Preceding Event Relation,R-HSA-2301205
Cell Cycle,R-HSA-2294580,Preceding Event Relation,R-HSA-2294590
Cell Cycle,R-HSA-2172666,Preceding Event Relation,null
Cell Cycle,R-HSA-2294600,Preceding Event Relation,R-HSA-170153
Cell Cycle,R-HSA-2294600,Preceding Event Relation,R-HSA-2288097
Cell Cycle,R-HSA-2294590,Preceding Event Relation,R-HSA-2294600
Cell Cycle,R-HSA-2294590,Preceding Event Relation,R-HSA-3002798
Cell Cycle,R-HSA-2294574,Preceding Event Relation,R-HSA-2294580
Cell Cycle,R-HSA-375302,Preceding Event Relation,null
Cell Cycle,R-HSA-2514854,Preceding Event Relation,R-HSA-2529015
Cell Cycle,R-HSA-2529015,Preceding Event Relation,R-HSA-2529020
Cell Cycle,R-HSA-2520883,Preceding Event Relation,R-HSA-2514854
Cell Cycle,R-HSA-2529020,Preceding Event Relation,null
Cell Cycle,R-HSA-380508,Preceding Event Relation,R-HSA-380278
Cell Cycle,R-HSA-380316,Preceding Event Relation,null
Cell Cycle,R-HSA-2468293,Preceding Event Relation,R-HSA-2468041
Cell Cycle,R-HSA-2466068,Preceding Event Relation,R-HSA-2468293
Cell Cycle,R-HSA-2545253,Preceding Event Relation,R-HSA-2467794
Cell Cycle,R-HSA-2484822,Preceding Event Relation,R-HSA-2473151
Cell Cycle,R-HSA-2484822,Preceding Event Relation,R-HSA-375302
Cell Cycle,R-HSA-2467794,Preceding Event Relation,R-HSA-2466068
Cell Cycle,R-HSA-2468287,Preceding Event Relation,R-HSA-2484822
Cell Cycle,R-HSA-1638803,Preceding Event Relation,R-HSA-2468287
Cell Cycle,R-HSA-1638821,Preceding Event Relation,R-HSA-1638803
Cell Cycle,R-HSA-9647746,Preceding Event Relation,null
Cell Cycle,R-HSA-9648114,Preceding Event Relation,R-HSA-156682
Cell Cycle,R-HSA-9648017,Preceding Event Relation,R-HSA-9647746
Cell Cycle,R-HSA-156682,Preceding Event Relation,null
Cell Cycle,R-HSA-9648089,Preceding Event Relation,R-HSA-2984258
Cell Cycle,R-HSA-9648089,Preceding Event Relation,R-HSA-9647746
Cell Cycle,R-HSA-188386,Preceding Event Relation,R-HSA-188350
Cell Cycle,R-HSA-69191,Preceding Event Relation,R-HSA-8961846
Cell Cycle,R-HSA-69195,Preceding Event Relation,R-HSA-157906
Cell Cycle,R-HSA-69199,Preceding Event Relation,R-HSA-188345
Cell Cycle,R-HSA-69199,Preceding Event Relation,R-HSA-69195
Cell Cycle,R-HSA-157906,Preceding Event Relation,R-HSA-69191
Cell Cycle,R-HSA-187506,Preceding Event Relation,null
Cell Cycle,R-HSA-188390,Preceding Event Relation,R-HSA-188386
Cell Cycle,R-HSA-187828,Preceding Event Relation,null
Cell Cycle,R-HSA-198613,Preceding Event Relation,R-HSA-198270
Cell Cycle,R-HSA-8932400,Preceding Event Relation,R-HSA-4411357
Cell Cycle,R-HSA-8932400,Preceding Event Relation,R-HSA-1980067
Cell Cycle,R-HSA-8932400,Preceding Event Relation,R-HSA-1484099
Cell Cycle,R-HSA-187520,Preceding Event Relation,R-HSA-187934
Cell Cycle,R-HSA-187520,Preceding Event Relation,R-HSA-69562
