PathwayName,Event,RelationType,InputReaction
Cell Cycle,R-HSA-141439,Shared entity relation,R-HSA-141429
Cell Cycle,R-HSA-141439,Shared entity relation,R-HSA-141431
Cell Cycle,R-HSA-141423,Shared entity relation,R-HSA-174238
Cell Cycle,R-HSA-141423,Shared entity relation,R-HSA-174104
Cell Cycle,R-HSA-141423,Shared entity relation,R-HSA-174171
Cell Cycle,R-HSA-141423,Shared entity relation,R-HSA-179410
Cell Cycle,R-HSA-141437,Shared entity relation,R-HSA-141423
Cell Cycle,R-HSA-141429,Shared entity relation,null
Cell Cycle,R-HSA-5683735,Shared entity relation,R-HSA-69891
Cell Cycle,R-HSA-69891,Shared entity relation,R-HSA-5683735
Cell Cycle,R-HSA-69891,Shared entity relation,R-HSA-5683774
Cell Cycle,R-HSA-6799332,Shared entity relation,R-HSA-69685
Cell Cycle,R-HSA-6799332,Shared entity relation,R-HSA-6799246
Cell Cycle,R-HSA-176116,Shared entity relation,R-HSA-6799246
Cell Cycle,R-HSA-176116,Shared entity relation,R-HSA-75010
Cell Cycle,R-HSA-176116,Shared entity relation,R-HSA-75028
Cell Cycle,R-HSA-176116,Shared entity relation,R-HSA-69604
Cell Cycle,R-HSA-5683792,Shared entity relation,R-HSA-69685
Cell Cycle,R-HSA-5683792,Shared entity relation,R-HSA-349426
Cell Cycle,R-HSA-5683792,Shared entity relation,R-HSA-69608
Cell Cycle,R-HSA-5683792,Shared entity relation,R-HSA-75809
Cell Cycle,R-HSA-5683774,Shared entity relation,R-HSA-5683792
Cell Cycle,R-HSA-6799246,Shared entity relation,R-HSA-6803719
Cell Cycle,R-HSA-75809,Shared entity relation,R-HSA-9029987
Cell Cycle,R-HSA-170070,Shared entity relation,R-HSA-170153
Cell Cycle,R-HSA-170070,Shared entity relation,R-HSA-170072
Cell Cycle,R-HSA-75028,Shared entity relation,null
Cell Cycle,R-HSA-75016,Shared entity relation,null
Cell Cycle,R-HSA-9029987,Shared entity relation,R-HSA-75016
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-8852331
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-264444
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-69015
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-75824
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-8854051
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-8854041
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-3000335
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-174144
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-174104
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-69598
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-174195
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-174227
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-174159
Cell Cycle,R-HSA-8852354,Shared entity relation,R-HSA-179417
Cell Cycle,R-HSA-8852337,Shared entity relation,R-HSA-8852351
Cell Cycle,R-HSA-170055,Shared entity relation,null
Cell Cycle,R-HSA-8852351,Shared entity relation,R-HSA-8852354
Cell Cycle,R-HSA-75010,Shared entity relation,R-HSA-9029987
Cell Cycle,R-HSA-69604,Shared entity relation,null
Cell Cycle,R-HSA-176101,Shared entity relation,R-HSA-176264
Cell Cycle,R-HSA-176250,Shared entity relation,null
Cell Cycle,R-HSA-176298,Shared entity relation,null
Cell Cycle,R-HSA-176264,Shared entity relation,null
Cell Cycle,R-HSA-176318,Shared entity relation,R-HSA-176298
Cell Cycle,R-HSA-176175,Shared entity relation,R-HSA-176101
Cell Cycle,R-HSA-176175,Shared entity relation,R-HSA-176250
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-264444
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-69015
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-75824
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-8854051
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-8854041
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-3000335
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-174144
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-174104
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-69598
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-174195
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-174227
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-174159
Cell Cycle,R-HSA-69600,Shared entity relation,R-HSA-179417
Cell Cycle,R-HSA-69608,Shared entity relation,null
Cell Cycle,R-HSA-69598,Shared entity relation,R-HSA-69600
