First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,HS(5)-GPC4 [plasma membrane],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,HS(5)-SDC1 [plasma membrane],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,HS(5)-SDC3 [plasma membrane],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,HS(5)-GPC2 [plasma membrane],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465917"",""Photons induce isomerisation of 11c-retinyl to at-retinyl"")",2465917,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"Jassal, B",Yes,at-retinyl-OPN1SW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465917"",""Photons induce isomerisation of 11c-retinyl to at-retinyl"")",2465917,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"Jassal, B",Yes,at-retinyl-OPN1MW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465917"",""Photons induce isomerisation of 11c-retinyl to at-retinyl"")",2465917,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"Jassal, B",Yes,at-retinyl-OPN1LW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2465924"",""OPN1LW binds 11cRAL"")",2465924,"Jassal, B",Yes,OPN1LW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9656891"",""OPN1SW binds 11cRAL"")",9656891,"Jassal, B",Yes,OPN1SW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2466085"",""at-retinyl is hydrolysed from R* to release atRAL"")",2466085,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9656893"",""OPN1MW binds 11cRAL"")",9656893,"Jassal, B",Yes,OPN1MW [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2586748"",""GUCA binds Ca2+ to form GUCA:Ca2+"")",2586748,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74885"",""GUCYs converts GTP to cGMP"")",74885,"Carleton, KL",Yes,GUCA1B:Ca2+ [photoreceptor disc membrane],Complex,Negative Regulator,False,AND,-1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2586748"",""GUCA binds Ca2+ to form GUCA:Ca2+"")",2586748,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74885"",""GUCYs converts GTP to cGMP"")",74885,"Carleton, KL",Yes,GUCA1C:Ca2+ [photoreceptor disc membrane],Complex,Negative Regulator,False,AND,-1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2586748"",""GUCA binds Ca2+ to form GUCA:Ca2+"")",2586748,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74885"",""GUCYs converts GTP to cGMP"")",74885,"Carleton, KL",Yes,GUCA1A:Ca2+ [photoreceptor disc membrane],Complex,Negative Regulator,False,AND,-1,False
