First_Reaction_Name,First_Reaction_ID,Second_Reaction_Name,Second_Reaction_ID,Second_Reaction_Author,ReactionsInSameDiagram?,Shared_Entity,Shared_Entity_Class,Shared_Entity_Relation_to_Second_Reaction,IsCyclic?,Logic,Value,Is _It_Curated?
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74843"",""atROL binds RBP1 to form RBP1:atROL"")",74843,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2453855"",""LRAT esterifies RBP1:atROL and FACYLs to atREs"")",2453855,"Jassal, B",Yes,RBP1:atROL [cytosol],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74872"",""RDH10,11 oxidise 11cROL to 11cRAL"")",74872,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8960973"",""RLBP1:11cRAL dissociates"")",8960973,"Jassal, B",Yes,RLBP1:11cRAL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74882"",""GNAT1-GDP binds to GNB1:GNGT1"")",74882,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2485180"",""MII catalyses GDP/GTP exchange on Gt"")",2485180,"Jassal, B",Yes,Gt-GDP [photoreceptor disc membrane],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74947"",""p-MII:SAG dissociates to p-RHO and SAG"")",74947,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74948"",""PP2A dephosphorylates p-RHO to RHO"")",74948,"Carleton, KL",Yes,"p-S334,338,343-RHO [photoreceptor disc membrane]",EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74947"",""p-MII:SAG dissociates to p-RHO and SAG"")",74947,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2581488"",""SAG binds p-MII to form p-MII:SAG"")",2581488,"Jassal, B",Yes,SAG [cytosol],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-74948"",""PP2A dephosphorylates p-RHO to RHO"")",74948,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454118"",""11cRAL binds to opsin to form 11c-retinyl:RHO"")",2454118,"Jassal, B",Yes,RHO [photoreceptor disc membrane],EntityWithAccessionedSequence,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-8960973"",""RLBP1:11cRAL dissociates"")",8960973,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2454264"",""11cROL binds to RLBP1 to form RLBP1:11cROL"")",2454264,"Jassal, B",Yes,RLBP1 [cytosol],EntityWithAccessionedSequence,Input,False,AND,1,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663736"",""CHRNA9:CHRNA10 binds acetylcholine"")",9663736,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-9663785"",""CHRNA9:CHRNA10:AcCho transports Ca2+ from the extracellular region to the cytosol"")",9663785,"May, B",Yes,CHRNA9:CHRNA10:AcCho [plasma membrane],Complex,Catalyst,False,AND,1,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",975608,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975633"",""atROL binds to RBP2"")",975633,"Stephan, R",Yes,RBP2 [cytosol],EntityWithAccessionedSequence,Input,True,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",975608,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2399913"",""atRAL binds to RBP2"")",2399913,"Jassal, B",Yes,RBP2 [cytosol],EntityWithAccessionedSequence,Input,False,OR,0,False
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975629"",""RDH11 reduces RBP2:atRAL to RBP2:atROL"")",975629,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",975608,"Stephan, R",Yes,RBP2:atROL [cytosol],Complex,Input,False,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975633"",""atROL binds to RBP2"")",975633,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-975608"",""LRAT esterifies RBP2:atROL and FACYLs to atREs"")",975608,"Stephan, R",Yes,RBP2:atROL [cytosol],Complex,Input,True,OR,0,True
"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2429643"",""NREH hydrolyses atREs (HSPG:apoE) to atROL and FAs"")",2429643,"=HYPERLINK(""https://reactome.org/content/detail/R-HSA-2423785"",""CR:atREs binds apoE and HSPG"")",2423785,"Jassal, B",Yes,HS(4)-PGs [plasma membrane],DefinedSet,Input,False,OR,1,False
