First_Reaction,Second_Reaction,Shared_Entity,Shared_Entity_Type,Logic,Value
R-HSA-112121,R-HSA-5657665,R-HSA-5656464,Input,OR,0
R-HSA-112121,R-HSA-5657649,R-HSA-5656464,Input,OR,0
R-HSA-112121,R-HSA-5657641,R-HSA-5656464,Input,OR,0
R-HSA-112121,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-112123,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-112123,R-HSA-5657637,R-HSA-5656407,Input,OR,0
R-HSA-112123,R-HSA-5657617,R-HSA-5656407,Input,OR,0
R-HSA-112123,R-HSA-5657642,R-HSA-5656407,Input,OR,0
R-HSA-112124,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-112124,R-HSA-5657637,R-HSA-5656407,Input,OR,0
R-HSA-112124,R-HSA-5657617,R-HSA-5656407,Input,OR,0
R-HSA-112124,R-HSA-5657642,R-HSA-5656407,Input,OR,0
R-HSA-112125,R-HSA-3785704,R-HSA-5649637,Input,AND,1
R-HSA-112125,R-HSA-5657637,R-HSA-5656407,Input,OR,0
R-HSA-112125,R-HSA-5657617,R-HSA-5656407,Input,OR,0
R-HSA-112125,R-HSA-5657642,R-HSA-5656407,Input,OR,0
R-HSA-3785704,R-HSA-3785768,R-ALL-75165,Input,AND,1
R-HSA-3785768,R-HSA-5693612,R-HSA-3785763,Input,OR,0
R-HSA-3785768,R-HSA-5687465,R-HSA-3785763,Input,OR,0
R-HSA-5358510,R-HSA-5358518,R-HSA-5358511,Input,AND,1
R-HSA-5358512,R-HSA-5358545,R-HSA-5358515,Input,AND,1
R-HSA-5358513,R-HSA-5358919,R-HSA-5358532,Input,OR,0
R-HSA-5358518,R-HSA-5358597,R-HSA-5358528,Input,AND,1
R-HSA-5358519,R-HSA-5358512,R-HSA-5358523,Input,AND,1
R-HSA-5358525,R-HSA-5358912,R-HSA-5358524,Input,OR,0
R-HSA-5358545,R-HSA-5358619,R-HSA-5358541,Input,AND,1
R-HSA-5358579,R-HSA-6782138,R-HSA-68462,Input,OR,0
R-HSA-5358579,R-HSA-5689317,R-HSA-68462,Input,OR,0
R-HSA-5358579,R-HSA-6788385,R-HSA-68462,Input,OR,0
R-HSA-5358579,R-HSA-5693542,R-HSA-68462,Input,OR,0
R-HSA-5358579,R-HSA-5358599,R-HSA-68462,Input,OR,0
R-HSA-5358579,R-HSA-5358619,R-HSA-68462,Input,OR,0
